ID,species,prh_start,prh_stop,prh_fps,lunge_quality,sonar_exp,total_lunges,deployment-time_secs
bw160817,bw,50786,1700707,10,good,yes,403,164992.1
bw160918a,bw,4513,3560148,10,good,yes,1746,355563.5
bw170619-36,bw,2985,449453,10,good,none,213,44646.8
bw170813-41,bw,2996,574100,10,good,none,395,57110.4
bw170813-42,bw,3001,231820,10,good,none,147,22881.9
bw170813-44,bw,2972,1351083,10,good,none,380,134811.1
bw170814-30,bw,7677,110539,10,good,none,40,10286.2
bw170814-40,bw,2981,1104402,10,good,none,695,110142.1
bw170814-50,bw,2972,281523,10,good,none,158,27855.1
bw170814-51,bw,1959,775604,10,good,none,294,77364.5
bw170815-21,bw,2984,110149,10,good,none,54,10716.5
bw170815-28,bw,2990,1015366,10,good,none,366,101237.6
bw170815-42,bw,23749,89619,10,good,none,29,6587
bw170815-43,bw,3000,668402,10,good,none,214,66540.2
bw170816-23,bw,1462,29424,10,good,none,17,2796.2
bw170816-27,bw,2980,163247,10,good,none,87,16026.7
bw170816-41,bw,3000,549185,10,good,none,275,54618.5
bw170816-42,bw,3000,151242,10,good,none,62,14824.2
bw170816-44,bw,3000,345486,10,good,none,229,34248.6
bw170816-51,bw,6879,167338,10,good,none,81,16045.9
mn09_122b,mn,0,339999,5,good_dives (7-102),none,169,67999.8
mn09_152a,mn,0,402550,5,good_dives,none,551,80510
mn10_133a,mn,0,410000,5,good,none,398,82000
mn10_139a,mn,0,373100,5,good,none,854,74620
mn10_144a,mn,0,360000,5,good,none,1281,72000
mn10_151a,mn,0,449780,5,good,none,574,89956
mn10_155a,mn,0,435000,5,ok,none,409,87000
mn12_262a,mn,0,104280,5,good,none,303,20856
mn12_262b,mn,0,117180,5,good,none,356,23436
mn12_263a,mn,0,51670,5,good,none,159,10334
mn12_264a,mn,0,40660,5,good,none,94,8132
mn12_264b,mn,0,60270,5,good,none,150,12054
mn12_265a,mn,0,73517,5,good,none,184,14703.4
mn12_289a,mn,0,50450,5,good,yes,22,10090
mn12_289b,mn,0,50450,5,good,yes,20,10090
mn13_109a,mn,0,166880,5,ok,none,47,33376
mn13_110a,mn,0,184620,5,good,none,188,36924
mn13_111a,mn,0,179300,5,good,none,64,35860
mn13_112a,mn,0,155550,5,good,none,55,31110
mn13_113a,mn,0,58285,5,good,none,25,11657
mn13_113d,mn,0,86250,5,good,none,16,17250
mn140716-4,mn,2982,18384,10,ok,none,3,1540.2
mn140721-3,mn,1812,60351,10,partial (3-6),none,21,5853.9
mn151011-6,mn,2980,88869,10,good,none,13,8588.9
mn151031-3,mn,2291,81375,10,good,none,120,7908.4
mn151031-4,mn,2883,180016,10,good,none,272,17713.3
mn151103-3,mn,3990,121590,10,good,none,108,11760
mn151103-4,mn,2336,55501,10,"partial (3,9,11,12)",none,40,5316.5
mn151103-7,mn,2980,399858,10,"partial (0-10, 24-135)",none,376,39687.8
mn160113-11,mn,4656,1069899,10,good,none,988,106524.3
mn160419-8,mn,15303,219495,10,good,none,181,20419.2
mn160429-37,mn,3930,387888,10,good,none,108,38395.8
mn160725-36b,mn,2728,78558,10,good,none,107,7583
mn160727-11,mn,13071,325207,10,good,none,232,31213.6
mn161006-11,mn,7033,136069,10,good,none,50,12903.6
mn161105-36,mn,10967,71025,10,good,none,40,6005.8
mn161106-36,mn,9834,336796,10,good,none,298,32696.2
mn161107-36b,mn,2975,311711,10,good,none,97,30873.6
mn161117-10,mn,1406,193105,10,good,none,17,19169.9
mn170218-31,mn,2916,633720,10,good,none,534,63080.4
mn170220-30,mn,6772,95290,10,good,none,45,8851.8
mn170322-30,mn,7777,241696,10,good,none,241,23391.9
mn170410-20,mn,4704,405641,10,good,none,191,40093.7
mn170613-20,mn,2416,91729,10,good,none,74,8931.3
mn170703-40,mn,2990,377475,10,"partial (0-23, 29, 37-40)",none,154,37448.5
mn170808-42,mn,2320,141756,10,ok,none,19,13943.6
mn170809-41,mn,13704,125093,10,good,none,22,11138.9
mn170809-43,mn,2415,75907,10,good,none,13,7349.2
mn170810-40,mn,2505,185829,10,good,none,20,18332.4
mn170810-41,mn,2582,29101,10,good,none,4,2651.9
mn170815-10,mn,2875,353007,10,good,none,53,35013.2
mn170817-30,mn,14950,130036,10,good,none,29,11508.6
mn170817-43,mn,3000,170451,10,good,none,40,16745.1
mn170817-50,mn,1751,518947,10,good,none,94,51719.6
mn170908-44,mn,2633,1258871,10,good,none,342,125623.8
mn170912-42,mn,2616,1164566,10,partial (0-213),none,176,116195
mn170912-43,mn,2900,970756,10,good,none,391,96785.6
